rating	review
5	it was okay<br/>beverage is not what I ordered and tastes really sweet
5	test good
1	not garam
3	🙏🏻જય સ્વામિનારાયણ<br/><br/>બહુ સરસ કોલ્ડ કોકો ક્વોલિટી બહુ સારી આભાર 
5	Ordered with so much craze but highly disappointed
1	find
4	Very Fast Delivery <br/><br/>Thanks Zomato
5	good 👍
5	delivery is too slow by zomato
4	I have ordered rajbhog thick shake with extra cashew. thay not extra cashew. and refuse to charge which I pay for extra cashew. also zomato not help me. very bad experience with mahalaxmi fast food and zomato. I tell my all friends not to use zomato and not order to mahalaxmi fast food. many other option we can. 
5	superb food best quality 
5	give me my money back for which i have paid and item was missed in parcel in last order to gangour udhna
1	not good 
5	!
1	Food was really nice - there were no chillies we enjoyed it 👍
5	good service 
5	late delivery
5	I don’t usually write reviews but I was compelled to write one due to the awesome tasting food with great packaging and on time delivery! Really happy with the quantity of food too. Highly recommended!!!! 
2	Bad behaviyar
5	sent less number of breads this time. I will never give order again to Gangor 
1	very cold that and loss item
5	price is very extra
3	FOOD WAS SO YUMM
1	Too gud
1	Hot and spice amazing
5	good 
5	when u prepair n send the parcel to coustomer pls check wat r u sending
5	Poor quality
1	I puked after having it. 
1	good 👍 👍 👍 👍 
5	not bad 
1	fantastic
5	test is best
1	good
5	not as expected
5	nice
5	always good
3	Very bad delivery<br/>I have mentioned not to ring bell <br/>Delivery boy has ring the bell which is very bad
3	exta kaju ka 40 piya lekin 10 rupey ke bheje 🤣makkhi chush
5	not happy with my order and your service.. 
5	the deliver guy didn't knock and opened the door directly
1	good
5	tast is better &amp; service is very satisfied
5	so small
2	thats diffrent from pic
5	fast delivery
5	many wested bismillah is rong<br/>Amul /s chcho chips super many 120 rs<br/>party pack 750 ml
1	Too much sugar. jjnnnnnnndnxbdhdbdbhdhfbhfhdhdhhdhdhh
1	superb 
1	nice
1	good
5	osm quality
3	The delivery was made before time.thanks
5	the delivery executive was fabulous 😍🙏🏻
3	good 👍
5	wow
5	delivery service very bad
3	supar sarve
1	this was my condition of parcel
5	nice 👍🏼
5	wow
1	quantity was less then appear in order ...so I dnt think so much to prefer bismillah
5	your thick shake was like a milk shake.doesn't like it.👎
1	nice
1	good job<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>
2	thx 😊
1	Received both items melted and Sitafal was spoilt. can't consumed... Zomato is not ready to take any responsibility for the same..I believe they already know service of Bismilah still they have allowed them to serve us worst desert... Totally waste of money.. Big failure of Zomato as well as restaurant..
5	Taste like hell. Too bad Very Bad Not Good Quality
5	sab ghuli thi abhi kya kare ek dam bekar item nikla
5	not quality very late delivery not certified please service
1	not good..seems to be plain vanilla ice cream with just a little amount of cookies..more of just whipped cream..
5	food quantity was lace cause of scheme schedule otherwise u can enjoy more quantity on live at shop
1	I m buying from bismillah only every time but this time taste is very bad they are giving old or expiry thick shake
1	Bht bekar taste hai kabhi order ni Krna...Paisa barbaad 
1	want to talk with team ASAP
1	Great
5	it's has test of garlic 
5	The taste was soo good and spicy just how I like my food
4	teat saro hato.<br/>pan sandwich 🥪 pochi thai gayi hati tena karane maza nai aavi
3	Sandwich ka taste bhi accha nhi tha or 2-3 baal nikle
3	good 
1	Taste was very bad<br/>👎
1	Only kobiz and tometo but not testy<br/>And very hard bred<br/>West mony 
1	very nice 
1	its awesome packing 
1	Taste not good...half cooked 
2	again like last time a new issu food item were totally tasteless
1	nice
1	બાદ
1	very test full and quentatiy item
1	better 
5	very very very very nice food 😀🥑<br/>
5	yaami
4	The food was totaly bad in  taste… fried rice to pura jal gya hua tha bekar tha… <br/>Can’t recommend to any one
5	Good
2	osm test
4	food is very very bed chiter this shop <br/>don't oder in this shope vest money 
5	Charging 95 for cheese sandwich and where is the cheese ? Fooling customer don’t order
1	great
3	very low chesse like only vegetable plain sandwich restaurant take rate full and not give item quality
1	The restaurant service is not good and does not support.
1	bed quality of chapati and all item
1	Not good
5	not good food very bad taste
3	not good 
1	okok
5	good food
3	Good 
1	bed food
5	yaha se khana mat order kariye<br/>total waste of money.<br/>itni gathiya quality ki chapati mene kabhi nahi dekh.<br/>kachha lot he aate ka.<br/>sabzi bhi puri ki puri dry he.<br/>kisi ko mar na he to yaha se sokh se khana mangvaye.
2	good 
1	good food
1	all food are partially prepared... waste of money...
5	good food and good service
3	quality and quantity is enough one person 
5	good
5	mils no good quality very much oily food quality is not good
1	Test Good But Service is Not Good 
4	clining not clear 
5	I don't like this type of food 
4	don't like it 
1	good 
1	Packing
4	rote very small saiz
1	super 
4	zometo n chandan bhojnalaya chit with me... 
4	Bekar  khana  roti was uncooked not propely cooked ..Sara khana  waste huaa..and mera money bhi waste huaa..I want to full refund....<br/>Plastic was banned in india..why this restaurant using plastics for food packaging...<br/>Give me proper ans  for this...I'll wating for your reply
1	very good 
5	good 
1	this food may hurt our health... please refund my money.
5	or pehle to roti aati thi abhi q puri hi aati he.
5	worsttttt
1	good 
1	good 
2	best
1	कतई बकचोद 
5	very good 
5	good food
1	good 
5	3class quality
1	not good
5	bad experience 2nd time 
5	they didn't send cutlary and roti.
5	Make less qty and good quality food.
1	please improve your sabzi
1	not good package. ordered dibba thali(box packing). but order delivered in single single box and loose plastic bags 
2	delevary boy is not uniform and very bad behaviour 
1	test bakwas tha
5	good service for delivery person 🤠
5	burger was cold and sweet and they didn't gave ketchup. disappointing .
1	bargar thanda ho chuka tha 
5	excellent
1	test of best 
2	/THANX FOR DELEVERY MY ORDER 
5	good 
5	it's osume taste and delivery is in less time so thank you 
5	Took an hour to deliver Cold Burgers 🍔
5	sezwan ketchup is very little applied. only name is sezwan burgers. no sezwan test in burger 
5	good 
2	some vaggis
4	exeelent
5	excellent 👍
5	normal Berger rate high size is small 
3	Nice bro <br/><br/>Ok
5	good 
5	bhut hi bekar sawad tha  
5	good
3	delivery is so slowly 
3	ok ok 
3	Hii
5	plz dhayan de pese le rahe ho to wesa bana ke bhi do
2	Worst food🤬
1	to good
5	received damaged food
1	worst experience first delivery late and second 70 ruppes ka burger he lutere..<br/>nobody buy from Ajay... faltu food
5	not hit baav bed quality 
2	best service and good taste 👍
1	delayed and cold
1	good job
5	ketchup is less 
3	super fantastic 👍👍
1	super fantastic 👍👍👍
2	very good service
5	Amazing👍
3	the aize could be bigger for the price
4	Good guy👍
4	they didn't send the sauce
4	let deliver
5	Reasonable prices
5	nic<br/>
5	they don't provide me spoons 🥄
1	good
1	good 
1	goood
5	love d it
4	all is Good
1	Please Send Order as per mentioned In order book
5	both dishes delicious...🤤
5	thank you 💖
5	late delivery 
5	First of all the restaurant look is verry beautiful and food is verry tasty daining was verry comfortable for us. Servise was verry clerly done by prahlad the steward every thing is good but one lack I found from the caption  verry mutch attitude and he has to be improve their way of speaking rowadey language. Give respect to every one this was my first time visite i love your food
4	delivery timing is good &amp; food is very swadist
5	nice
1	No trest forood on dinner <br/>No Paking good <br/>No test <br/>H
1	nice 
1	Worst service
1	bad test 
1	ggooood
5	low quantity 
1	Very bad service
1	delivery boy is very good 
5	Good
5	very nice food
2	gu
5	very fast delivery 👏👏👏
5	veg kadi is spicy
1	They have not provided glass for cold coffee and no spoon for eating of biryani <br/><br/>Very ridiculous
5	very nice 🙂🙂
5	paner only 4 money vest karna hai paneer ni deta sahi grevi bhar deta hai poor quality.
1	very quick service
5	Taste is excellent and food was hygienic but one food is always very spicy
1	i dont want to eat this.
5	only gravy no Manchurian
2	delicious
2	Good 
5	I need refund
3	Anil Bhai good job . perfectly time . 
5	I expect better but it's okk taste is good 
5	had a bad smell in chinese bhel
1	some thing wrong with this dish..smell like taste as a medicine water used
5	good 
1	Naam bade darshan chhote 
1	good 
5	good 
4	nic
2	veg. crispy to sweet &amp; crispy like manchurian<br/>
3	good 
2	Yuuummmeeeee....😋
5	excellent
1	service very fast 
1	Cutlery dont sent by restaurant......
5	good food
2	good good
4	I Have Asked For Fry Noodles They Told To Give 10 Rs Extra  My Bill Value Almost 1000+
1	Not so good as compared
1	swit thi bekar
1	Best place to devour Chinese food. Panner recipes are top notch. Great service as always. Consistency with quality.
4	fantastic food 😋
5	cabbage salad not include 
5	Took 1 hour instead of 37 mins approx delivery time quoted at the time of order. 
4	yume test
4	Provided item both are luze packaging and both are not hot. kindly using tin packing in future for item hot purpose many restaurants using packaging tin.
1	very testy 
4	zero spicy bola tha<br/>fir bhi spicy noodles bhej diya<br/><br/>
5	very bad experience..
5	bekar bilkul khana no test bilkul
3	very good
5	solt over use 
1	i am order biriyani and recived pulav
5	i always add cutlary in my order and i never got cutlary in my order. And when call up yo the owner he said he is out of station what a horrible response to the customer.
4	super
1	very bed experience 
5	please value of our money 
3	bakvas khana tha😡
5	no good 
1	very fast delivery 
1	lo koleti ka food making 
5	very nice 
5	Too spicy and tasteless
5	nice thali but one vegetable bad test 
1	food is good only the thing is some times buttermilk polythene has leakage
1	aise bhejna tha to menyu me kyun dusra dikhate ho
1	Never eat stale food to call it useless... the whole test is useless...Never ate stale food to call it useless... the whole test is useless... in my life I have never eaten more useless food than this.....
3	good
3	bekar
5	More spicy. Taste is not good.Waste of money.Not recommended to anyone.
1	very bad missing 2 items 
1	I had to be admitted to the hospital because I had a bad stomach
5	not gullab jamun and no test
1	Pathetic service first late order received and secand ko salt in any paratha
1	Thank You ☺️
5	good 
1	kitna ganda khana dety ho mahek rha tha 
5	as mentioned in instruction also again sent dal in foil bag in small quantity as complaint in last order and neither got pickle and onion in pannier combo.<br/><br/>
5	ekdam ghatia taste.
5	Cooking instructions were accepted but not considered.
1	never order aging 😒  full waste money 💰 
1	Fantastic
4	quality very poor. 
1	Worst dal makhani i have ever had.<br/>It looks like sabji.
3	nice 
1	sari sabji basi thi rice half Bowl bhi nhi tha roti bhi jali thi. test bhi bekar tha. fully unsatisfied with this hotel no test or very high rate
1	worst food
1	qwantity very less <br/>packing like street food biryani
1	good 
1	very bad survey
1	test is ok ok not best 
2	not good.. worst
5	ghatiya thali hai<br/>roti bhi thanda hai<br/>sabzi bhi bakwas hai<br/>halka halka vas bhi kar raha hai<br/>0 star ke like bhi nhi hai
3	Packing was worst and taste was not good as we go for dining in the same restuarant.
1	Very bad taste
1	There is a no onion and pickel inside this parsal
4	please serve good food
1	This was not from sugar n spice it was brought from somewhere else waste of our money because the taste was not of sugar n spice also no name on box nor any bill
1	No butter roti given<br/>Rice and  hakka noodles with give onion i call after given order so why with give onion
1	Fabulous test 👌👌👌
2	good
1	they add milk in icecream and sell as milkshake<br/><br/>rubbish
3	tasty 
4	Ok okay
5	Falooda with fried noodles 😡<br/>No tuk mariyal in it.
1	Good
2	it was good i liked the taste but chocolate chips i added the quantity was less
5	it's yummy 😋
1	Parcel containers not good... please use disposal cups
5	good delivery boy 👍
3	west my money 
1	it is not Nutella
3	Sugar is more than required
1	good
1	this is badam milk shake not good worry 
2	do not go with this restaurant. i ordered 2 items. and both are not fresh.
5	food was nice and also delivery service was fast
1	bhot bekar bhai plz jo bhi bismilla shmaj k manga rha ho wo nahi mangaye iska test bhot khrab h muje to sab fek dena pada 🤬🤬🤬🙏🙏🙏
3	inset of thick shake milk shake is coming
1	test is not more testy 
1	wery nice fast🚴三 delivered
4	good
5	very Good 
4	pura Pani ho gaya tha
3	good
1	regret
3	roasted almond thickshake fully melted not at satisfied ...I want my money refund I throwed away in dustbin  or else giv us credit in my next order ...😡
5	awesome 😊👍
5	wow very fast delivery
1	Average ice cream can say prefer going with the big names and get quality products rather than selecting the new ones.
2	How careless !!!
1	And that also very late
1	Faluda name Faltu Faluda
5	Maine Jo food Manga tha vah thick shake tha aur delivering Milne Tak vah mil se Kho Gaya
3	excellent 
1	thank you
3	Too much masala and the rice tasted weird
5	good service 
5	These people just dont want to read the cooking instructions… i clearly mentioned not to add beetroot but still they added lot of beetroot i had to throw away the food
5	Quality and quantity is best
4	supar fst 
5	They didn’t put spoon how do someone eat without a spoon
1	Thank you for delivering 🙂🙂
5	no quality 
4	Cooking instructions was not followed.
5	test bekar hai 
5	Food was fantastic
5	nyc taste
1	delicious food 😋
2	jala hua chicken diya
3	I want to just add that the delivery was a little late than expected 
4	Why are you guys not making food as per instruction….
4	Very oily
1	The chicken leg was so bad and stale<br/>The taste was so dirty <br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>Dont give you customers like this<br/>
3	bad experience 
4	very yummy and tasty food
2	only agg added no chicken qty as per price 
5	good person 
5	very good 
2	.
5	👍
5	hello team zomato we had order special tiranga and we received tandoori leg pice as you seen in photo we attached we want our money of specail tirnaga back as they send us wrong order please do the need full as soon as possible thank you!
5	quantity of bheja fry is very less
5	smooth delivery.
4	Worest seervice
1	nice wow
2	अदभुत । delicious 
1	very good tats
5	Very bad and no taste..very low Quantity and very high price ..bad experince cheap
1	no paper dish 
5	nice taste 
5	chicken me bone less jyada tha... bone wala hona cahiye
5	Lassi was missing in the order
4	✌️
1	kadi instead of lasaniya bateka
4	tasty food
1	no onion in the parcel ....The Ffood is very cold ...smell is very bad ..
1	All items were not hot it was cold. Next time think twice to order.
5	the quantity of oil should be proportionate. the veggies were too oily 
5	awesome taste
1	very good fast delivery
3	good food
3	not good 
3	midiyam
3	Oily tha zyada despite instructions given while meal booking. keep it less.
1	Food was very good and tasty.
4	not tasty food
1	very very bed quelity food
5	incomplite order Chass was Missing and Charge for It
1	Good test. Appreciate.
3	very bad taste and they gave us stale food
3	check Karke Bhejo Sir 
1	sweet missing only free sweet send
5	Worst food.  Tasteless and oily.
1	good 
1	Excellent food
4	bekar
1	👌
5	great
5	 I order food because of that offer.  But it was not fit to eat.🤮
1	taste good but garam nahi tha 
2	don
5	Best Food 
1	Strange taste
5	Did not follow instructions
4	Excellent ghar jaisa taste
5	Always fresh food
5	Good food excellent taste 
5	corns in sabji is not fresh at all
5	overall it was good but for dal we have asked for jain and came regularly Please be careful next time.
4	worst pannir out dated .never ever visit this type of restaurant. or even don't oder from there 
2	Not like the original taste of Royal dine 
4	good
4	Uttpa pura jala huaa<br/>Sada dosa keasi se bhi nahi kata.veri bad test .west manny .sab fakna pada.pesa west
1	i don't like your delivery system 😠<br/>fore restaurant...
3	feel like old bread
1	sambar me salt jyada tha aur dosa toh bohat salted bana diya not good taste 
4	BEST 
5	Food was not up to mark  &amp; also restaurant  didn't  sent cutlery &amp; delivery was also delayed so I want to give negative star &amp; please don't register such type of restaurant on your platform . Thanks 
2	not spuan and not plat
5	cheat on me item are missing I need money back
1	not a on time delivery 
3	bekar peking bekar food manny west
5	i already told that send Manchurian with 3-4 spoon<br/>but resturant sens food without any spoon.<br/><br/><br/><br/>back my money
1	So Bad Test Don't Order To This Restorent
1	I forgot the number of time I ordered from here.<br/>Every time same taste and quality.
5	Mast
5	good and humble person 
5	testy and healthy 
1	the order took more than one hour to reach us
2	I don't like this items 
3	oder late food is bad my money back guarantee dijiye please 
2	quantity sahi nahi he 
5	not good taste at all it like they just did a basic pepper tadka and while eating the garlic busted in my mouth which makes me spit the food and the vegetables are raw as hell its like eating noodles with just raw veggies and pepper tadka no salt and no taste
1	Thanks for considering my request of providing separate containers of sambhar-chatni <br/>for each dosa
5	good 
1	didn't follow instructions which I gave
1	thanks 
1	good taste 
5	testy but quantity poor
5	Gulab Jamun Not Received
5	not chhachh- gulab jamun not good service
5	no test bad quality
5	I ordered special deluxe from this outlet..thali was good. Amazing service...... Keep up the good work always guys... <br/><br/><br/>
5	order is not properly and quantity is very lo (cutting)
4	Dal fry jeera rice must try here.. awesome taste.. delivery service very fast.. highly recommended to everyone 👍
3	Yesterday i ordered food.. its was yummy taste.. Delivery service very fast.. Food was awesome.. highly recommended 
3	Try kaju butter masala very good taste... very good service.. <br/>Very tasty and hygenic food... My experience was good 👍 
4	Sabji paneer butter Masala is very very yummy... wonderful service excellent food with good quality.. Nice experience <br/>
4	i cant order in future from ur restaurant..😡😡
3	there is no spoon and paper plates
5	the food quality very bad
1	very bad thali 
5	Very bad quality
5	is hotel me koy order mat kar na hotel Wale hamko bhikhari samjhte he
5	Ekadam bekar khana
5	first and worst experience
1	best service
1	West of money <br/>Totally loss food is not fresh
1	food is very very cold 
1	nice
1	nice
1	third class
5	not packing good and not satisfied 
5	don't order a plate with 2 pc because you will only get 1 instead of 2 pc
5	बेकार खाना एक दम से
5	Roti is plaan and very let dilevari
1	thik
1	khana bheja h ya mazak kiya h
1	paise west poor quality 
1	<br/>very bad quality of food in this price 
3	food if sogy. cold
1	Total waste money
2	food is not proper and quantity is not as per price. food has not any test and some items described like papad and sweets are not given in delivery order.
1	khane me kuch bhi thik nahi hai<br/>khana bhi thanda hai
1	service not satisfied
1	👌👌👌👌👌👌nice 
1	not prepared perfect order<br/>I order extra 2rotti.<br/>but didn't recieved.
1	sabji alag bheja he or aachar (pickle) to aaya hi nahi he test everage packing are without beg only dish hand over 
1	paking ke sath beg bhai hona chahiye
1	isse bakvas thaali hamne aaj tak nahi khaee. dal aur sabji baasi mili.
1	found plastic thread in the food<br/>very poor hygiene 
1	<br/>packing so bad plz proper packing 
1	Very good 
1	bad taste 
1	not bad
5	nice taste 
1	only rice in it .small 4-5 pices chiken only .no meaning of chiken biryani
5	Ab pehle se bahot hi low quantity  aa rahi hai
3	good 
1	not proper packing of food<br/>gravy material is send in this type of packing
3	my everytime service please his man
1	No chicken in chicken rice
1	Chicken Biryani Quality need improvement...
4	instructions me likha tha without gravy uske bad bi gravy bhej diya 
3	not good 
4	verey nice food
1	please provide fresh &amp; hygiene foods
1	nice
1	good<br/>
1	Packing was not at all good <br/>All oil  spread on other items n my meal was spoiled
1	little more improvement 
1	all order leakage form container
5	actually what i ordered and what i got both is different...i ate many times in same dish same restaurant. ruin my evening
2	This time food is very bad ni tesh also chicken pics is not good after eat very bad semll In this food . Test also bed so not very happy this service and food quality..😡😡
5	quality of food.
4	masala papad ka packet 40 rs ka hota hai ...aur aap ek papad 40 ka dete ho
1	rude behaviour 
5	It was totally different from what I’ve order
1	good food
5	Waste of money
1	Terrible experience there was nail in the roti. The photo is attached next to the bolus
1	no onion or chutney send my with order
3	very bad packaging 
1	Every time food quality is good but this time I think it's very salty.both starters are not estable.
1	fine
4	dabe me se oli nikla tha or ... maf kr naa 65 acha tha baki sab me problem hi hai chaval me namak nhi tha or roti  aachi trha se paki nhi thi aaj peli bar muje order me mza nhi aaya☹️ khana let aaya or ye sab thik nhi lga 
3	mast
2	make it more spicy 🔥
1	good 
1	Covenity problem also test 
5	the delivery boy forget the place I marked and goes wrong way but biryani taste and his before time come on that area that I like what ever  he get wrong turn but taste is awesome
5	good service
1	not good
1	nice chicken biryani recipe so happy 😊
5	very nice
4	Taste is not good and instead of tikka biryani normal biryani had come
2	mast 
5	bakwash biryani thi yaha se kabhi mat mangana 
1	i got found stone inside the package very bed experience 
5	wong recommend
1	nice
1	on time 
1	biryani me bal nikal rahe h bahut h ghatiya saf safai bilkun nahi h 😔
2	all taste same
1	very very nice
1	super test
1	nice 
5	Ok Ok
5	nice 
3	Tasty Biryani 😋
1	nice 
4	30 mint after needs to biryani 😏
5	bad food
5	good
4	good
4	not a good test 
1	Best of luck 
5	Great
1	delivery service is very fast and delivery boy is good in behaviour....
5	That’s cheating I’m ordering chicken biryani hi was send me paneer biryani
5	good behaviour 
1	very good behave and timely reach at location....
3	exalnt
5	best biryani ever go for it taste is soo good enjoy
1	good
4	Did not receive the peri peri fries with frankie even after paying for both of them
5	It’s good but not same taste compared to last ordered
5	make it a little soft
5	i order 3 Diffrent test Frankie total order 4 <br/>restaurant send all food in same packing without any TAG all mixed up and and not found without. Having test also used plastick silver chief paper used 
5	worst food ever
2	it's not same which I ordered its full of test less poteto and too much mayonnaise insted of cheess
5	I ordered 2 frankies but none was labelled.. hassel to identify which one was which otherwise food was good.
1	Never going to order from here as this the order I got was not that i ordered 
1	jain kese pata chalengea
1	I ordered 2 franky but  I only get one
1	it's stale food taste is very bad 
1	very bad
2	hope no paneer &amp; cheese extra add😒😒😒
3	amazing 👏 ...<br/>
1	perfect 
4	amazing 
1	the packaging has to be appropriate. 
1	no more cheese nd no test 
4	Tha packeging was nt proper the frankie was nt properly packed and cnt be easily eat all the stuff was coming out
3	no taste
3	pahle jaisa taste nahi tha and crspy nahi tha<br/>packing not good
1	Awesome. Will repeat again in future
1	empty frankie no materials inside
1	very bad 
5	Bad food .
4	The Frankie was not tasty. The vegetables used did not seemed fresh.
2	i have told the instructions then also not follow 
1	testy ynmm
3	vry bad
5	Very bad. It was not special it was jst chinese franky. Ntng special.
1	Bakwas test
1	Worst food test lesss wala paisa Waisted he bhi koi magana matt Yaha se ghatiya hain khud test kr ke bol rha hun bohot hi jyada worsted test hain
1	Manchurian cheeze ki jagah paneer cheeze frankie deliver aai he<br/>Bahot bekar thi Frankie
1	thank you faster dilevary
4	pls don't delay in delivery 👍
1	Take this back
2	nice
5	Very Bad Test. No value of money. <br/>Only two peace in chicken laziz handi.
1	good 
1	Nice Service
1	very poor quantity 
1	masala Kam tha
1	hopeless taste never order again. 
5	roti main se dhaga(thread nikala). dhyan se<br/><br/>aaj ki roti bhi barabar nahj thi..aisa laga dusri kahi jagah se bana ke bheji hau total disappointment 
3	Delivery was soo late.! It have taken almost 50min for delivery
3	The item i recieved was not Laziz Handi ...i don't know what it was but was of very poor quality...first time I had this bad experience....
2	😡😡
1	happy 
2	want refund
1	authentic chicken biryani taste you have in this Hyderabadi chicken dum biryani recipe Delhi Dastarkhwan.. i always order Biryani only from you because of that original aroma and taste.. i really appreciated 👍🏻
4	hopeless
1	worst graby ever
1	worst taste ever
5	very delicious but too spicy 
1	worst restaurant i have ever seen i received cockroach in biryani 🤮🤮🤮🤮🤮
5	very nice 👍
